quote,name,date,quote_id,lower_quote,lower_tokenized_quote,year,quote_length,tool_frequency,scaled_tool_frequency
Rather broadly:  humanities teaching and research that makes use of computers and even more importantly internet applications as an integral component of either the teaching or the research.,Larry Swain,2010-01-01,466,rather broadly:  humanities teaching and research that makes use of computers and even more importantly internet applications as an integral component of either the teaching or the research.,"['rather', 'broadly', ':', 'humanities', 'teaching', 'and', 'research', 'that', 'makes', 'use', 'of', 'computers', 'and', 'even', 'more', 'importantly', 'internet', 'applications', 'as', 'an', 'integral', 'component', 'of', 'either', 'the', 'teaching', 'or', 'the', 'research', '.']",2010,30,0,0.0
"Digital Humanities is the use of digital technologies for the pursuit of a greater understanding of the humanities. An example of this would be the use of SQL, which is a database language, and Geographic Information Systems (GIS) to better understand ecclesiastical sites of Medieval Iceland.",John Wall,2010-01-01,467,"digital humanities is the use of digital technologies for the pursuit of a greater understanding of the humanities. an example of this would be the use of sql, which is a database language, and geographic information systems (gis) to better understand ecclesiastical sites of medieval iceland.","['digital', 'humanities', 'is', 'the', 'use', 'of', 'digital', 'technologies', 'for', 'the', 'pursuit', 'of', 'a', 'greater', 'understanding', 'of', 'the', 'humanities', '.', 'an', 'example', 'of', 'this', 'would', 'be', 'the', 'use', 'of', 'sql', ',', 'which', 'is', 'a', 'database', 'language', ',', 'and', 'geographic', 'information', 'systems', '(', 'gis', ')', 'to', 'better', 'understand', 'ecclesiastical', 'sites', 'of', 'medieval', 'iceland', '.']",2010,52,0,0.0
"Digital humanities involves the application of the digital to work in the humanities, practiced self consciously. DH encourages the humanist to engage with the technology and not just to consume it. DH is best experienced as both theory and practice.",Elli Mylonas,2010-01-01,468,"digital humanities involves the application of the digital to work in the humanities, practiced self consciously. dh encourages the humanist to engage with the technology and not just to consume it. dh is best experienced as both theory and practice.","['digital', 'humanities', 'involves', 'the', 'application', 'of', 'the', 'digital', 'to', 'work', 'in', 'the', 'humanities', ',', 'practiced', 'self', 'consciously', '.', 'dh', 'encourages', 'the', 'humanist', 'to', 'engage', 'with', 'the', 'technology', 'and', 'not', 'just', 'to', 'consume', 'it', '.', 'dh', 'is', 'best', 'experienced', 'as', 'both', 'theory', 'and', 'practice', '.']",2010,44,0,0.0
Studying the impact of digital technologies on the humanities.  Using emerging ICTs to create as well as study digital cultures and the impact of digital technologies on cultures and literacy practices.,Carl Whithaus,2010-01-01,469,studying the impact of digital technologies on the humanities.  using emerging icts to create as well as study digital cultures and the impact of digital technologies on cultures and literacy practices.,"['studying', 'the', 'impact', 'of', 'digital', 'technologies', 'on', 'the', 'humanities', '.', 'using', 'emerging', 'icts', 'to', 'create', 'as', 'well', 'as', 'study', 'digital', 'cultures', 'and', 'the', 'impact', 'of', 'digital', 'technologies', 'on', 'cultures', 'and', 'literacy', 'practices', '.']",2010,33,0,0.0
Using computers to see and model what happens when people express themselves and communicate.,Neven Jovanovic,2010-01-01,470,using computers to see and model what happens when people express themselves and communicate.,"['using', 'computers', 'to', 'see', 'and', 'model', 'what', 'happens', 'when', 'people', 'express', 'themselves', 'and', 'communicate', '.']",2010,15,0,0.0
"Digital Humanities is a new term that describes what is probably an old activity (or collection of activities) but which gives us a fresh image or metaphor for that work, so that it can be seen with new eyes. It allows for new connections to be made across what were previously very separate fields of interest, which is the essence of imagination and the creation of new knowledge.",Susan Greenberg,2010-01-01,471,"digital humanities is a new term that describes what is probably an old activity (or collection of activities) but which gives us a fresh image or metaphor for that work, so that it can be seen with new eyes. it allows for new connections to be made across what were previously very separate fields of interest, which is the essence of imagination and the creation of new knowledge.","['digital', 'humanities', 'is', 'a', 'new', 'term', 'that', 'describes', 'what', 'is', 'probably', 'an', 'old', 'activity', '(', 'or', 'collection', 'of', 'activities', ')', 'but', 'which', 'gives', 'us', 'a', 'fresh', 'image', 'or', 'metaphor', 'for', 'that', 'work', ',', 'so', 'that', 'it', 'can', 'be', 'seen', 'with', 'new', 'eyes', '.', 'it', 'allows', 'for', 'new', 'connections', 'to', 'be', 'made', 'across', 'what', 'were', 'previously', 'very', 'separate', 'fields', 'of', 'interest', ',', 'which', 'is', 'the', 'essence', 'of', 'imagination', 'and', 'the', 'creation', 'of', 'new', 'knowledge', '.']",2010,74,0,0.0
"Humanist Computing is the application of computational methods and associated tools to address specific humanities research problems. Distinct from general computing approaches, Humanities Computing is embedded within the research concerns of the disciplines and sub-fields that make up the humanities. The methods employed in the field may be used to uncover new knowledge about corpora or to visualise research data in such a way as to uncover additional insights and meaning. Succinctly Humanities Computing is about structuring, analysing and communicating humanistic knowledge in a critical and authorial way using computing technology.",Craig Bellamy,2010-01-01,472,"humanist computing is the application of computational methods and associated tools to address specific humanities research problems. distinct from general computing approaches, humanities computing is embedded within the research concerns of the disciplines and sub-fields that make up the humanities. the methods employed in the field may be used to uncover new knowledge about corpora or to visualise research data in such a way as to uncover additional insights and meaning. succinctly humanities computing is about structuring, analysing and communicating humanistic knowledge in a critical and authorial way using computing technology.","['humanist', 'computing', 'is', 'the', 'application', 'of', 'computational', 'methods', 'and', 'associated', 'tools', 'to', 'address', 'specific', 'humanities', 'research', 'problems', '.', 'distinct', 'from', 'general', 'computing', 'approaches', ',', 'humanities', 'computing', 'is', 'embedded', 'within', 'the', 'research', 'concerns', 'of', 'the', 'disciplines', 'and', 'sub-fields', 'that', 'make', 'up', 'the', 'humanities', '.', 'the', 'methods', 'employed', 'in', 'the', 'field', 'may', 'be', 'used', 'to', 'uncover', 'new', 'knowledge', 'about', 'corpora', 'or', 'to', 'visualise', 'research', 'data', 'in', 'such', 'a', 'way', 'as', 'to', 'uncover', 'additional', 'insights', 'and', 'meaning', '.', 'succinctly', 'humanities', 'computing', 'is', 'about', 'structuring', ',', 'analysing', 'and', 'communicating', 'humanistic', 'knowledge', 'in', 'a', 'critical', 'and', 'authorial', 'way', 'using', 'computing', 'technology', '.']",2010,97,1,0.010309278350515464
"I define it as the use of dataprocessing technology and techniques applied to the development, research, reporting, and teaching of humanities research questions.",Daniel Paul O'Donnell,2010-01-01,473,"i define it as the use of dataprocessing technology and techniques applied to the development, research, reporting, and teaching of humanities research questions.","['i', 'define', 'it', 'as', 'the', 'use', 'of', 'dataprocessing', 'technology', 'and', 'techniques', 'applied', 'to', 'the', 'development', ',', 'research', ',', 'reporting', ',', 'and', 'teaching', 'of', 'humanities', 'research', 'questions', '.']",2010,27,0,0.0
"The digital humanities is the use of digital methods and technologies in humanities teaching and research. Humanities computing, by contrast, can be reserved for the study and development of those methods and technologies.",Geoffrey Rockwell,2010-01-01,474,"the digital humanities is the use of digital methods and technologies in humanities teaching and research. humanities computing, by contrast, can be reserved for the study and development of those methods and technologies.","['the', 'digital', 'humanities', 'is', 'the', 'use', 'of', 'digital', 'methods', 'and', 'technologies', 'in', 'humanities', 'teaching', 'and', 'research', '.', 'humanities', 'computing', ',', 'by', 'contrast', ',', 'can', 'be', 'reserved', 'for', 'the', 'study', 'and', 'development', 'of', 'those', 'methods', 'and', 'technologies', '.']",2010,37,0,0.0
"I'll give the same definition from last year: I broadly define Humanities Computing/Digital Humanities as a field in which scholars within the humanities use or study computers or a digital environment (e.g. the WWW, video games, digital fiction, etc.) in their research. I consider myself to be a digital humanities researcher because I am studying digital short fiction and its communities in my thesis, but also because I sometimes use social science methods and computing tools (online questionnaires, quantitative/qualitative analysis, etc.), which reflects the interdisciplinary nature of humanities computing.",Susan Hesemeier,2010-01-01,475,"i'll give the same definition from last year: i broadly define humanities computing/digital humanities as a field in which scholars within the humanities use or study computers or a digital environment (e.g. the www, video games, digital fiction, etc.) in their research. i consider myself to be a digital humanities researcher because i am studying digital short fiction and its communities in my thesis, but also because i sometimes use social science methods and computing tools (online questionnaires, quantitative/qualitative analysis, etc.), which reflects the interdisciplinary nature of humanities computing.","['i', ""'ll"", 'give', 'the', 'same', 'definition', 'from', 'last', 'year', ':', 'i', 'broadly', 'define', 'humanities', 'computing/digital', 'humanities', 'as', 'a', 'field', 'in', 'which', 'scholars', 'within', 'the', 'humanities', 'use', 'or', 'study', 'computers', 'or', 'a', 'digital', 'environment', '(', 'e.g', '.', 'the', 'www', ',', 'video', 'games', ',', 'digital', 'fiction', ',', 'etc', '.', ')', 'in', 'their', 'research', '.', 'i', 'consider', 'myself', 'to', 'be', 'a', 'digital', 'humanities', 'researcher', 'because', 'i', 'am', 'studying', 'digital', 'short', 'fiction', 'and', 'its', 'communities', 'in', 'my', 'thesis', ',', 'but', 'also', 'because', 'i', 'sometimes', 'use', 'social', 'science', 'methods', 'and', 'computing', 'tools', '(', 'online', 'questionnaires', ',', 'quantitative/qualitative', 'analysis', ',', 'etc', '.', ')', ',', 'which', 'reflects', 'the', 'interdisciplinary', 'nature', 'of', 'humanities', 'computing', '.']",2010,107,1,0.009345794392523364
"Digital humanities is a field of study characterized by critical analysis of the relationship between the produced surfaces of digital media and the information structures and cultural structures that produce them; alternatively (or additionally) it is characterized by a critical interest in how humanities scholarship is produced, consumed, and transformed in and through digital media.",Julia Flanders,2010-01-01,476,"digital humanities is a field of study characterized by critical analysis of the relationship between the produced surfaces of digital media and the information structures and cultural structures that produce them; alternatively (or additionally) it is characterized by a critical interest in how humanities scholarship is produced, consumed, and transformed in and through digital media.","['digital', 'humanities', 'is', 'a', 'field', 'of', 'study', 'characterized', 'by', 'critical', 'analysis', 'of', 'the', 'relationship', 'between', 'the', 'produced', 'surfaces', 'of', 'digital', 'media', 'and', 'the', 'information', 'structures', 'and', 'cultural', 'structures', 'that', 'produce', 'them', ';', 'alternatively', '(', 'or', 'additionally', ')', 'it', 'is', 'characterized', 'by', 'a', 'critical', 'interest', 'in', 'how', 'humanities', 'scholarship', 'is', 'produced', ',', 'consumed', ',', 'and', 'transformed', 'in', 'and', 'through', 'digital', 'media', '.']",2010,61,0,0.0
"Digital Humanities is any attempt to incorporate digital understandings or culture into scholarship, pedagogy and service. For my particular reasons, I define Digital Humanities as an attempt to use computing methods to understand 19th Century British literature from a book historians point of view. As a teacher, I use Digital Humanities to create a bridge among myself, my students and our contemporary culture. We use all kinds of tools to get into 19th Century print culture, and not just tools to assess the 19th Century moment but to also create content that can serve as a critique of our own use of tools, such as Twitter, Moodle, ClassSpot, tech-enhanced teaching facilities. For instance, we explore gaming as a way to discuss the technological upheaval of the printing press in the early 1900s. That's just a tidbit of my world as a Digital Humanist.",Katherine D. Harris,2010-01-01,477,"digital humanities is any attempt to incorporate digital understandings or culture into scholarship, pedagogy and service. for my particular reasons, i define digital humanities as an attempt to use computing methods to understand 19th century british literature from a book historians point of view. as a teacher, i use digital humanities to create a bridge among myself, my students and our contemporary culture. we use all kinds of tools to get into 19th century print culture, and not just tools to assess the 19th century moment but to also create content that can serve as a critique of our own use of tools, such as twitter, moodle, classspot, tech-enhanced teaching facilities. for instance, we explore gaming as a way to discuss the technological upheaval of the printing press in the early 1900s. that's just a tidbit of my world as a digital humanist.","['digital', 'humanities', 'is', 'any', 'attempt', 'to', 'incorporate', 'digital', 'understandings', 'or', 'culture', 'into', 'scholarship', ',', 'pedagogy', 'and', 'service', '.', 'for', 'my', 'particular', 'reasons', ',', 'i', 'define', 'digital', 'humanities', 'as', 'an', 'attempt', 'to', 'use', 'computing', 'methods', 'to', 'understand', '19th', 'century', 'british', 'literature', 'from', 'a', 'book', 'historians', 'point', 'of', 'view', '.', 'as', 'a', 'teacher', ',', 'i', 'use', 'digital', 'humanities', 'to', 'create', 'a', 'bridge', 'among', 'myself', ',', 'my', 'students', 'and', 'our', 'contemporary', 'culture', '.', 'we', 'use', 'all', 'kinds', 'of', 'tools', 'to', 'get', 'into', '19th', 'century', 'print', 'culture', ',', 'and', 'not', 'just', 'tools', 'to', 'assess', 'the', '19th', 'century', 'moment', 'but', 'to', 'also', 'create', 'content', 'that', 'can', 'serve', 'as', 'a', 'critique', 'of', 'our', 'own', 'use', 'of', 'tools', ',', 'such', 'as', 'twitter', ',', 'moodle', ',', 'classspot', ',', 'tech-enhanced', 'teaching', 'facilities', '.', 'for', 'instance', ',', 'we', 'explore', 'gaming', 'as', 'a', 'way', 'to', 'discuss', 'the', 'technological', 'upheaval', 'of', 'the', 'printing', 'press', 'in', 'the', 'early', '1900s', '.', 'that', ""'s"", 'just', 'a', 'tidbit', 'of', 'my', 'world', 'as', 'a', 'digital', 'humanist', '.']",2010,160,3,0.01875
"for me, its the use of computing technologies to allow humanities research that would otherwise prove impossible.",Melissa Terras,2010-01-01,478,"for me, its the use of computing technologies to allow humanities research that would otherwise prove impossible.","['for', 'me', ',', 'its', 'the', 'use', 'of', 'computing', 'technologies', 'to', 'allow', 'humanities', 'research', 'that', 'would', 'otherwise', 'prove', 'impossible', '.']",2010,19,0,0.0
"Digital Humanities refers to efforts to link the humanities disciplines with the ever-increasing role of technology in the academy, the scholarly community, and the life of the mind as it is made manifest throughout our evermore global intellectual community. It ranges from undergraduate blogs on energy-savings (sponsored by sustainability initiatives at numerous institutions) to rarified reflections on rhetorical analysis, via word-count searches, of Lord Byron's journals. Digital knowledge-work will define the activity of humanities researchers, scholars, and teachers in the coming decades.  (See also my 2009 definition)",Ashton Nichols,2010-01-01,479,"digital humanities refers to efforts to link the humanities disciplines with the ever-increasing role of technology in the academy, the scholarly community, and the life of the mind as it is made manifest throughout our evermore global intellectual community. it ranges from undergraduate blogs on energy-savings (sponsored by sustainability initiatives at numerous institutions) to rarified reflections on rhetorical analysis, via word-count searches, of lord byron's journals. digital knowledge-work will define the activity of humanities researchers, scholars, and teachers in the coming decades.  (see also my 2009 definition)","['digital', 'humanities', 'refers', 'to', 'efforts', 'to', 'link', 'the', 'humanities', 'disciplines', 'with', 'the', 'ever-increasing', 'role', 'of', 'technology', 'in', 'the', 'academy', ',', 'the', 'scholarly', 'community', ',', 'and', 'the', 'life', 'of', 'the', 'mind', 'as', 'it', 'is', 'made', 'manifest', 'throughout', 'our', 'evermore', 'global', 'intellectual', 'community', '.', 'it', 'ranges', 'from', 'undergraduate', 'blogs', 'on', 'energy-savings', '(', 'sponsored', 'by', 'sustainability', 'initiatives', 'at', 'numerous', 'institutions', ')', 'to', 'rarified', 'reflections', 'on', 'rhetorical', 'analysis', ',', 'via', 'word-count', 'searches', ',', 'of', 'lord', 'byron', ""'s"", 'journals', '.', 'digital', 'knowledge-work', 'will', 'define', 'the', 'activity', 'of', 'humanities', 'researchers', ',', 'scholars', ',', 'and', 'teachers', 'in', 'the', 'coming', 'decades', '.', '(', 'see', 'also', 'my', '2009', 'definition', ')']",2010,101,0,0.0
"My definition has changed a bit from last year. I continue to regard the digital humanities as a method, or set of methods, as opposed to a full-blown discipline. I subscribe to Unsworth's claim in 'Knowledge Representation' that digital methods are interpretive frameworks to place alongside others, such as new historicism or deconstruction. But I am more sensitive now to the effects that method has on discipline in the first place, and how the distinction is not entirely stable. I also believe that some curricular space should be devoted to media fluency, just as we devote time to writing.",Rafael Alvarado,2010-01-01,480,"my definition has changed a bit from last year. i continue to regard the digital humanities as a method, or set of methods, as opposed to a full-blown discipline. i subscribe to unsworth's claim in 'knowledge representation' that digital methods are interpretive frameworks to place alongside others, such as new historicism or deconstruction. but i am more sensitive now to the effects that method has on discipline in the first place, and how the distinction is not entirely stable. i also believe that some curricular space should be devoted to media fluency, just as we devote time to writing.","['my', 'definition', 'has', 'changed', 'a', 'bit', 'from', 'last', 'year', '.', 'i', 'continue', 'to', 'regard', 'the', 'digital', 'humanities', 'as', 'a', 'method', ',', 'or', 'set', 'of', 'methods', ',', 'as', 'opposed', 'to', 'a', 'full-blown', 'discipline', '.', 'i', 'subscribe', 'to', 'unsworth', ""'s"", 'claim', 'in', ""'knowledge"", 'representation', ""'"", 'that', 'digital', 'methods', 'are', 'interpretive', 'frameworks', 'to', 'place', 'alongside', 'others', ',', 'such', 'as', 'new', 'historicism', 'or', 'deconstruction', '.', 'but', 'i', 'am', 'more', 'sensitive', 'now', 'to', 'the', 'effects', 'that', 'method', 'has', 'on', 'discipline', 'in', 'the', 'first', 'place', ',', 'and', 'how', 'the', 'distinction', 'is', 'not', 'entirely', 'stable', '.', 'i', 'also', 'believe', 'that', 'some', 'curricular', 'space', 'should', 'be', 'devoted', 'to', 'media', 'fluency', ',', 'just', 'as', 'we', 'devote', 'time', 'to', 'writing', '.']",2010,111,0,0.0
"I prefer the term Humanities Computing as I think 'Digital' is reductive to the Computing Science portion of the term. My definition for that term is: Any project which combines computing problems with humanities methods, humanities problems with computing methods, or the creation of new objects of study that are somewhere on that continuum.",Matthew Bouchard,2010-01-01,481,"i prefer the term humanities computing as i think 'digital' is reductive to the computing science portion of the term. my definition for that term is: any project which combines computing problems with humanities methods, humanities problems with computing methods, or the creation of new objects of study that are somewhere on that continuum.","['i', 'prefer', 'the', 'term', 'humanities', 'computing', 'as', 'i', 'think', ""'digital"", ""'"", 'is', 'reductive', 'to', 'the', 'computing', 'science', 'portion', 'of', 'the', 'term', '.', 'my', 'definition', 'for', 'that', 'term', 'is', ':', 'any', 'project', 'which', 'combines', 'computing', 'problems', 'with', 'humanities', 'methods', ',', 'humanities', 'problems', 'with', 'computing', 'methods', ',', 'or', 'the', 'creation', 'of', 'new', 'objects', 'of', 'study', 'that', 'are', 'somewhere', 'on', 'that', 'continuum', '.']",2010,60,0,0.0
DH is the use of computing technologies to enhance humanities research and the use of humanities methodologies to enhance computing technologies.  It's hallmark is interdisciplinarity.  DH is about recognizing digital technologies as yet another tool to assist in humanities research - not the only tool -  and also about recognizing that the humanities must play a strong role in shaping digital technologies in the future.,Paul Youngman,2010-01-01,482,dh is the use of computing technologies to enhance humanities research and the use of humanities methodologies to enhance computing technologies.  it's hallmark is interdisciplinarity.  dh is about recognizing digital technologies as yet another tool to assist in humanities research - not the only tool -  and also about recognizing that the humanities must play a strong role in shaping digital technologies in the future.,"['dh', 'is', 'the', 'use', 'of', 'computing', 'technologies', 'to', 'enhance', 'humanities', 'research', 'and', 'the', 'use', 'of', 'humanities', 'methodologies', 'to', 'enhance', 'computing', 'technologies', '.', 'it', ""'s"", 'hallmark', 'is', 'interdisciplinarity', '.', 'dh', 'is', 'about', 'recognizing', 'digital', 'technologies', 'as', 'yet', 'another', 'tool', 'to', 'assist', 'in', 'humanities', 'research', '-', 'not', 'the', 'only', 'tool', '-', 'and', 'also', 'about', 'recognizing', 'that', 'the', 'humanities', 'must', 'play', 'a', 'strong', 'role', 'in', 'shaping', 'digital', 'technologies', 'in', 'the', 'future', '.']",2010,69,2,0.028985507246376812
"the development, study and use of digital tools in the arts and humanities",Stephen Woodruff,2010-01-01,483,"the development, study and use of digital tools in the arts and humanities","['the', 'development', ',', 'study', 'and', 'use', 'of', 'digital', 'tools', 'in', 'the', 'arts', 'and', 'humanities']",2010,14,1,0.07142857142857142
"Using digital media to explore, create, analyse and decode meanings in cultural products, current affairs and social life.",Alex Sevigny,2010-01-01,484,"using digital media to explore, create, analyse and decode meanings in cultural products, current affairs and social life.","['using', 'digital', 'media', 'to', 'explore', ',', 'create', ',', 'analyse', 'and', 'decode', 'meanings', 'in', 'cultural', 'products', ',', 'current', 'affairs', 'and', 'social', 'life', '.']",2010,22,0,0.0
"I think the beginning of my course description for Humanities Computing may be a start: In 1924, I. A. Richards began Principles of Literary Criticism by declaring, “a book is a machine to think with.” As the technology of texts has shifted over the ensuing 85 years, our understanding of the book-machine and how we think about/with it has also evolved. In this course, we will explore non-traditional modes of literature (aka “New Media”) along with computational methods for analyzing texts. We will be working with some of the more advanced aspects of XML, XSLT, XHTML and CSS.  Additionally, we will be considering many theoretical works that have an established place in the Digital Humanities canon . . .",Sara Steger,2010-01-01,485,"i think the beginning of my course description for humanities computing may be a start: in 1924, i. a. richards began principles of literary criticism by declaring, “a book is a machine to think with.” as the technology of texts has shifted over the ensuing 85 years, our understanding of the book-machine and how we think about/with it has also evolved. in this course, we will explore non-traditional modes of literature (aka “new media”) along with computational methods for analyzing texts. we will be working with some of the more advanced aspects of xml, xslt, xhtml and css.  additionally, we will be considering many theoretical works that have an established place in the digital humanities canon . . .","['i', 'think', 'the', 'beginning', 'of', 'my', 'course', 'description', 'for', 'humanities', 'computing', 'may', 'be', 'a', 'start', ':', 'in', '1924', ',', 'i.', 'a.', 'richards', 'began', 'principles', 'of', 'literary', 'criticism', 'by', 'declaring', ',', '“', 'a', 'book', 'is', 'a', 'machine', 'to', 'think', 'with.', '”', 'as', 'the', 'technology', 'of', 'texts', 'has', 'shifted', 'over', 'the', 'ensuing', '85', 'years', ',', 'our', 'understanding', 'of', 'the', 'book-machine', 'and', 'how', 'we', 'think', 'about/with', 'it', 'has', 'also', 'evolved', '.', 'in', 'this', 'course', ',', 'we', 'will', 'explore', 'non-traditional', 'modes', 'of', 'literature', '(', 'aka', '“', 'new', 'media', '”', ')', 'along', 'with', 'computational', 'methods', 'for', 'analyzing', 'texts', '.', 'we', 'will', 'be', 'working', 'with', 'some', 'of', 'the', 'more', 'advanced', 'aspects', 'of', 'xml', ',', 'xslt', ',', 'xhtml', 'and', 'css', '.', 'additionally', ',', 'we', 'will', 'be', 'considering', 'many', 'theoretical', 'works', 'that', 'have', 'an', 'established', 'place', 'in', 'the', 'digital', 'humanities', 'canon', '.', '.', '.']",2010,136,0,0.0
Modelling and recording traditional humanities data sets in such a way that they can be read by both humans and machines.,Steven Hayes,2010-01-01,486,modelling and recording traditional humanities data sets in such a way that they can be read by both humans and machines.,"['modelling', 'and', 'recording', 'traditional', 'humanities', 'data', 'sets', 'in', 'such', 'a', 'way', 'that', 'they', 'can', 'be', 'read', 'by', 'both', 'humans', 'and', 'machines', '.']",2010,22,0,0.0
"DH is that which happens digitally in each of the disciplines of the humanities. It is to be distinguished from humanities computing, which is what these separate digital activities have in common and which takes place at some kind of institutional centre, be it physical or notional.",Willard McCarty,2010-01-01,487,"dh is that which happens digitally in each of the disciplines of the humanities. it is to be distinguished from humanities computing, which is what these separate digital activities have in common and which takes place at some kind of institutional centre, be it physical or notional.","['dh', 'is', 'that', 'which', 'happens', 'digitally', 'in', 'each', 'of', 'the', 'disciplines', 'of', 'the', 'humanities', '.', 'it', 'is', 'to', 'be', 'distinguished', 'from', 'humanities', 'computing', ',', 'which', 'is', 'what', 'these', 'separate', 'digital', 'activities', 'have', 'in', 'common', 'and', 'which', 'takes', 'place', 'at', 'some', 'kind', 'of', 'institutional', 'centre', ',', 'be', 'it', 'physical', 'or', 'notional', '.']",2010,51,0,0.0
"Digital Humanies is using digital accesories / equipment / as a modern technical support for studing / researching in Humanities,, e. g. literary science.",Milena Mileva BLAZIC,2010-01-01,488,"digital humanies is using digital accesories / equipment / as a modern technical support for studing / researching in humanities,, e. g. literary science.","['digital', 'humanies', 'is', 'using', 'digital', 'accesories', '/', 'equipment', '/', 'as', 'a', 'modern', 'technical', 'support', 'for', 'studing', '/', 'researching', 'in', 'humanities', ',', ',', 'e.', 'g.', 'literary', 'science', '.']",2010,27,0,0.0
"An ongoing, active, open action to take or develop tools and content that give all scholars access to materials that they need and to encourage sharing of materials. These materials fall mostly into the areas traditionally associated with the humanities. The very activity of aggressively growing research in an open environment will doubtless change the definitions and limitations that former labels gave to us and our disciplines.",William Allen,2009-01-01,489,"an ongoing, active, open action to take or develop tools and content that give all scholars access to materials that they need and to encourage sharing of materials. these materials fall mostly into the areas traditionally associated with the humanities. the very activity of aggressively growing research in an open environment will doubtless change the definitions and limitations that former labels gave to us and our disciplines.","['an', 'ongoing', ',', 'active', ',', 'open', 'action', 'to', 'take', 'or', 'develop', 'tools', 'and', 'content', 'that', 'give', 'all', 'scholars', 'access', 'to', 'materials', 'that', 'they', 'need', 'and', 'to', 'encourage', 'sharing', 'of', 'materials', '.', 'these', 'materials', 'fall', 'mostly', 'into', 'the', 'areas', 'traditionally', 'associated', 'with', 'the', 'humanities', '.', 'the', 'very', 'activity', 'of', 'aggressively', 'growing', 'research', 'in', 'an', 'open', 'environment', 'will', 'doubtless', 'change', 'the', 'definitions', 'and', 'limitations', 'that', 'former', 'labels', 'gave', 'to', 'us', 'and', 'our', 'disciplines', '.']",2009,72,1,0.013888888888888888
"Digital Humanities is the marriage of two areas of study heretofore considered incompatible - IT and the humanities.  DH primarily involves the use of IT to gain new insights into the humanities.  The keywords are scale, navigation, and exchange.  These tools afford the humanist the ability to analyze large bodies of work on a previously unimagined scale.  They also allow for ease of research/data navigation and provide an efficient means of research/data exchange.  Secondarily, DH involves an analysis of the humanistic implications of information technology.",Paul Youngman,2009-01-01,490,"digital humanities is the marriage of two areas of study heretofore considered incompatible - it and the humanities.  dh primarily involves the use of it to gain new insights into the humanities.  the keywords are scale, navigation, and exchange.  these tools afford the humanist the ability to analyze large bodies of work on a previously unimagined scale.  they also allow for ease of research/data navigation and provide an efficient means of research/data exchange.  secondarily, dh involves an analysis of the humanistic implications of information technology.","['digital', 'humanities', 'is', 'the', 'marriage', 'of', 'two', 'areas', 'of', 'study', 'heretofore', 'considered', 'incompatible', '-', 'it', 'and', 'the', 'humanities', '.', 'dh', 'primarily', 'involves', 'the', 'use', 'of', 'it', 'to', 'gain', 'new', 'insights', 'into', 'the', 'humanities', '.', 'the', 'keywords', 'are', 'scale', ',', 'navigation', ',', 'and', 'exchange', '.', 'these', 'tools', 'afford', 'the', 'humanist', 'the', 'ability', 'to', 'analyze', 'large', 'bodies', 'of', 'work', 'on', 'a', 'previously', 'unimagined', 'scale', '.', 'they', 'also', 'allow', 'for', 'ease', 'of', 'research/data', 'navigation', 'and', 'provide', 'an', 'efficient', 'means', 'of', 'research/data', 'exchange', '.', 'secondarily', ',', 'dh', 'involves', 'an', 'analysis', 'of', 'the', 'humanistic', 'implications', 'of', 'information', 'technology', '.']",2009,94,1,0.010638297872340425
"Digital humanities attempts to bring humanistic inquiry and the artifacts of human experience into useful dialogue with digital technology.  It is, at once, a practical and a philosophical endeavor: a matter of building and of theorizing the built.  Practitioners are as likely to be adept at Java as they are post-structuralism; as drawn to the iPhone as they are to Moby Dick; as committed to a kind of optimistic futurism as they are deeply skeptical of a posthuman condition.  Digital humanities is also one of most exciting fields in the humanities today, with a burgeoning community of enthusiasts ranging from undergraduate students to senior scholars.",Stephen Ramsay,2009-01-01,491,"digital humanities attempts to bring humanistic inquiry and the artifacts of human experience into useful dialogue with digital technology.  it is, at once, a practical and a philosophical endeavor: a matter of building and of theorizing the built.  practitioners are as likely to be adept at java as they are post-structuralism; as drawn to the iphone as they are to moby dick; as committed to a kind of optimistic futurism as they are deeply skeptical of a posthuman condition.  digital humanities is also one of most exciting fields in the humanities today, with a burgeoning community of enthusiasts ranging from undergraduate students to senior scholars.","['digital', 'humanities', 'attempts', 'to', 'bring', 'humanistic', 'inquiry', 'and', 'the', 'artifacts', 'of', 'human', 'experience', 'into', 'useful', 'dialogue', 'with', 'digital', 'technology', '.', 'it', 'is', ',', 'at', 'once', ',', 'a', 'practical', 'and', 'a', 'philosophical', 'endeavor', ':', 'a', 'matter', 'of', 'building', 'and', 'of', 'theorizing', 'the', 'built', '.', 'practitioners', 'are', 'as', 'likely', 'to', 'be', 'adept', 'at', 'java', 'as', 'they', 'are', 'post-structuralism', ';', 'as', 'drawn', 'to', 'the', 'iphone', 'as', 'they', 'are', 'to', 'moby', 'dick', ';', 'as', 'committed', 'to', 'a', 'kind', 'of', 'optimistic', 'futurism', 'as', 'they', 'are', 'deeply', 'skeptical', 'of', 'a', 'posthuman', 'condition', '.', 'digital', 'humanities', 'is', 'also', 'one', 'of', 'most', 'exciting', 'fields', 'in', 'the', 'humanities', 'today', ',', 'with', 'a', 'burgeoning', 'community', 'of', 'enthusiasts', 'ranging', 'from', 'undergraduate', 'students', 'to', 'senior', 'scholars', '.']",2009,115,0,0.0
